如实描述	服务态度	物流服务	店铺	位置	付款人数	商品名称	价格	评价数	运费	标记
4.82	4.73	4.63	话费商城88	广东 广州	2人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	88.00	0	0.00	1天内发货&7天退货&
4.83	4.95	4.88	一日就是一天53	广东 广州	2人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	79.00	0	8.00	7天退货&
4.70	4.78	4.78	我的快乐_9876	广东 中山	6人付款	2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	69.00	2	5.00	1天内发货&7天退货&
4.78	4.78	4.78	三彩自营店	广东 广州	0人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	135.00	0	0.00	35天内发货&7天退货&
4.75	4.88	4.80	现实的惨痛	广东 中山	1人付款	2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	88.00	1	0.00	2天内发货&7天退货&
4.79	4.82	4.86	meetyouluo	广东 广州	0人付款	正品 夏装新款文艺范小清新绣花亚麻衬衫白衬衣女上衣1872013054	99.00	0	5.00	1天内发货&7天退货&
5.00	5.00	5.00	博博蛋126928	广东 中山	1人付款	2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	79.00	1	5.00	2天内发货&7天退货&
5.00	5.00	5.00	y52891	广东 广州	0人付款	2017夏装新款女装绣花百搭短袖衬衫女式衬衣棉麻刺绣上衣	99.00	0	0.00	2天内发货&7天退货&
5.00	5.00	5.00	拉风老牛007	广东 广州	0人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	115.00	1	100.00	7天退货&
5.00	5.00	5.00	hjl442580419	广东 广州	1人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	119.00	0	100.00	7天退货&
0.	0.	0.	再有再有在	河南 郑州	0人付款	衬衫女夏季	29.90	0	0.00	20小时内发货&7天退货&
4.90	4.94	4.90	中国女鞋制造888	广东 广州	0人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	160.00	0	0.00	7天退货&
